text,text_clean,label,register,prompt_id,token_count_original,token_count_clean,total_tokens,count_noun,ratio_noun,count_verb,ratio_verb,count_adj,ratio_adj,count_adv,ratio_adv,count_propn,ratio_propn,count_num,ratio_num,text_domain,domain_token_count,domain_coverage,core_informality,institutions_actors,legal_regulatory,social_protection,labor_conditions,critical_framing
Pilot programs incentivizing voluntary formalization through simplified tax regimes achieved modest registration gains but failed to produce commensurate increases in social security affiliation.,pilot program incentivize voluntary formalization simplify tax regime achieve modest registration gain fail produce commensurate increase social security affiliation,0,institutional,A028,23,19,23,10,0.4348,5,0.2174,4,0.1739,0,0.0,0,0.0,0,0.0,formalization registration affiliation,3,0.1579,0,0,2,1,0,0
"Sectoral analysis of informality incidence identifies personal transport, waste collection, and street vending as activities with near-universal informal employment prevalence.",sectoral analysis informality incidence identify personal transport waste collection street vend activity near universal informal employment prevalence,0,institutional,A029,20,17,21,10,0.4762,2,0.0952,4,0.1905,1,0.0476,0,0.0,0,0.0,informality street informal employment,4,0.2353,4,0,0,0,0,0
Cross-tabulation of informality indicators by educational attainment confirms that workers with tertiary education face informality rates 22 percentage points below those with primary education only.,cross tabulation informality indicator educational attainment confirm worker tertiary education face informality rate percentage point primary education,0,institutional,A030,25,17,26,12,0.4615,2,0.0769,3,0.1154,1,0.0385,0,0.0,1,0.0385,informality worker informality,3,0.1765,2,1,0,0,0,0
The use of civil service contracts as a substitute for formal employment relationships in private enterprises constitutes a compliance gap that labor inspectors have flagged as a priority enforcement area.,use civil service contract substitute formal employment relationship private enterprise constitute compliance gap labor inspector flag priority enforcement area,0,institutional,A031,30,19,30,14,0.4667,2,0.0667,3,0.1,0,0.0,0,0.0,0,0.0,contract formal employment compliance labor inspector,6,0.3158,1,1,3,0,1,0
"Indigenous and Afro-Colombian workers exhibit systematically lower formal employment rates than the national average, a disparity that persists after controlling for geographic location and educational attainment.",indigenous afro colombian worker exhibit systematically low formal employment rate national average disparity persist control geographic location educational attainment,0,institutional,A032,26,19,27,7,0.2593,3,0.1111,7,0.2593,1,0.037,1,0.037,0,0.0,worker formal employment,3,0.1579,1,1,1,0,0,0
"The transition rate from informal wage employment to formal wage employment is estimated at 8.7 percent per annum, indicating limited upward mobility within the labor market formality distribution.",transition rate informal wage employment formal wage employment estimate percent annum indicate limit upward mobility labor market formality distribution,0,institutional,A033,28,19,28,13,0.4643,3,0.1071,3,0.1071,0,0.0,0,0.0,1,0.0357,informal wage employment formal wage employment labor market formality,9,0.4737,4,0,2,0,3,0
"Firms operating in special economic zones exhibit higher formal employment rates than comparable enterprises outside these zones, consistent with the labor protection incentive structure embedded in zone regulations.",firm operate special economic zone exhibit high formal employment rate comparable enterprise outside zone consistent labor protection incentive structure embed zone regulation,0,institutional,A034,28,22,28,11,0.3929,3,0.1071,6,0.2143,0,0.0,1,0.0357,0,0.0,formal employment labor protection regulation,5,0.2273,1,0,2,1,1,0
"The ratio of informal to formal employment in the agriculture sector is approximately 9 to 1, reflecting the prevalence of seasonal and family labor arrangements that fall outside formal registration requirements.",ratio informal formal employment agriculture sector approximately reflect prevalence seasonal family labor arrangement fall outside formal registration requirement,0,institutional,A035,31,18,31,10,0.3226,2,0.0645,4,0.129,1,0.0323,0,0.0,2,0.0645,informal formal employment labor formal registration,6,0.3333,2,0,3,0,1,0
Analysis of administrative payroll records indicates that employer underreporting of remuneration to social security authorities reduces the contribution base by an estimated 18 percent relative to survey-reported earnings.,analysis administrative payroll record indicate employer underreporte remuneration social security authority reduce contribution base estimate percent relative survey report earning,0,institutional,A036,28,20,29,12,0.4138,5,0.1724,3,0.1034,0,0.0,0,0.0,1,0.0345,employer contribution earning,3,0.15,0,1,0,1,1,0
The incidence of multiple informal job holding — defined as concurrent engagement in two or more unregistered income-generating activities — affects approximately 11 percent of the informal workforce.,incidence multiple informal job holding define concurrent engagement unregistered income generate activity affect approximately percent informal workforce,0,institutional,A037,28,17,27,8,0.2963,3,0.1111,5,0.1852,2,0.0741,0,0.0,2,0.0741,informal job unregistered income informal,5,0.2941,4,0,0,0,1,0
"Labor force participation rates among women in rural areas are substantially lower than in urban areas, partly attributable to the absence of formal childcare and care infrastructure that would enable labor market entry.",labor force participation rate woman rural area substantially low urban area partly attributable absence formal childcare care infrastructure enable labor market entry,0,institutional,A038,33,22,33,14,0.4242,1,0.0303,5,0.1515,2,0.0606,0,0.0,0,0.0,labor woman rural urban formal labor market,7,0.3182,1,0,1,0,5,0
"The probability of transitioning to formal employment declines monotonically with age beyond 35 years, consistent with employer preferences and declining human capital investment returns over the working life cycle.",probability transition formal employment decline monotonically age year consistent employer preference decline human capital investment return work life cycle,0,institutional,A039,29,19,29,11,0.3793,4,0.1379,3,0.1034,1,0.0345,0,0.0,1,0.0345,formal employment employer work,4,0.2105,2,1,1,0,0,0
Municipal-level variation in informality rates is partially explained by differences in the density of labor inspection offices and the frequency of worksite compliance audits.,municipal level variation informality rate partially explain difference density labor inspection office frequency worksite compliance audit,0,institutional,A040,24,16,25,12,0.48,1,0.04,2,0.08,1,0.04,0,0.0,0,0.0,informality labor compliance,3,0.1875,1,0,1,0,1,0
"Bivariate analysis of informality and firm size confirms a strong negative association, with enterprises employing more than ten workers exhibiting significantly higher compliance with social security registration requirements.",bivariate analysis informality firm size confirm strong negative association enterprise employ worker exhibit significantly high compliance social security registration requirement,0,institutional,A041,28,20,28,10,0.3571,4,0.1429,6,0.2143,1,0.0357,0,0.0,1,0.0357,informality worker compliance registration,4,0.2,1,1,2,0,0,0
The effective labor inspection rate — defined as the number of annual worksite visits per thousand employed workers — remains below ILO recommended levels across all Colombian departments.,effective labor inspection rate define number annual worksite visit thousand employ worker remain ilo recommend level colombian department,0,institutional,A042,28,18,26,9,0.3462,4,0.1538,3,0.1154,0,0.0,1,0.0385,1,0.0385,labor worker ilo,3,0.1667,0,2,0,0,1,0
"Informal employment in the commerce sector is characterized by a high proportion of unpaid family workers, whose contribution to household enterprise output is not captured by standard remuneration-based formality measures.",informal employment commerce sector characterize high proportion unpaid family worker contribution household enterprise output capture standard remuneration base formality measure,0,institutional,A043,30,20,31,13,0.4194,3,0.0968,4,0.129,0,0.0,0,0.0,0,0.0,informal employment worker contribution formality,5,0.25,2,1,1,1,0,0
"Econometric estimates suggest that a ten percentage point reduction in the non-wage labor cost ratio would increase formal employment by approximately 3.2 percent, holding output and wages constant.",econometric estimate suggest percentage point reduction non wage labor cost ratio increase formal employment approximately percent hold output wage constant,0,institutional,A044,28,20,29,11,0.3793,3,0.1034,5,0.1724,1,0.0345,0,0.0,2,0.069,wage labor cost formal employment wage,6,0.3,1,0,1,0,4,0
"The coverage of occupational risk insurance among workers in construction and mining remains below 40 percent, creating significant gaps in compensation for work-related injury and disability.",coverage occupational risk insurance worker construction mining remain percent create significant gap compensation work relate injury disability,0,institutional,A045,26,17,27,12,0.4444,3,0.1111,2,0.0741,0,0.0,0,0.0,1,0.037,coverage worker work,3,0.1765,1,1,0,1,0,0
"Administrative data from the pension authority indicate that among workers who contributed to the pension system at some point, fewer than 30 percent accumulated the statutory minimum weeks required for a contributory pension.",administrative datum pension authority indicate worker contribute pension system point few percent accumulate statutory minimum week require contributory pension,0,institutional,A046,33,19,33,10,0.303,4,0.1212,5,0.1515,0,0.0,0,0.0,1,0.0303,pension worker pension statutory pension,5,0.2632,0,1,1,3,0,0
"Matching of household survey records with administrative employment data reveals a systematic undercount of informal employment in enterprise-based surveys, particularly in the domestic service and street commerce categories.",matching household survey record administrative employment datum reveal systematic undercount informal employment enterprise base survey particularly domestic service street commerce category,0,institutional,A047,28,21,29,14,0.4828,2,0.069,4,0.1379,1,0.0345,0,0.0,0,0.0,employment reveal informal employment domestic street,6,0.2857,4,0,0,0,1,1
"The elasticity of formal employment with respect to output growth in Colombia is estimated at 0.4, indicating that economic expansion translates into formal job creation at a lower rate than historical comparators in the region.",elasticity formal employment respect output growth colombia estimate indicate economic expansion translate formal job creation low rate historical comparator region,0,institutional,A048,35,20,35,11,0.3143,3,0.0857,5,0.1429,0,0.0,1,0.0286,1,0.0286,formal employment formal job region,5,0.25,2,0,2,0,1,0
"Informal workers who self-identify as employers exhibit higher earnings than informal employees, but both groups fall below the median formal sector wage after adjusting for hours worked.",informal worker self identify employer exhibit high earning informal employee group fall median formal sector wage adjust hour work,0,institutional,A049,27,19,28,9,0.3214,5,0.1786,5,0.1786,0,0.0,0,0.0,0,0.0,informal worker employer earning informal employee formal wage hour work,10,0.5263,3,3,1,0,3,0
"The share of informal workers with access to any form of contributory health coverage increased marginally following the 2014 reform to voluntary affiliation mechanisms, but fell short of projected targets.",share informal worker access form contributory health coverage increase marginally follow reform voluntary affiliation mechanism fall short project target,0,institutional,A050,30,19,30,10,0.3333,4,0.1333,2,0.0667,2,0.0667,1,0.0333,1,0.0333,informal worker health coverage reform affiliation,6,0.3158,1,1,1,3,0,0
Geographic concentration of formal employment in the Bogotá-Medellín-Cali corridor implies that workers in secondary cities face structural informality exposure independent of individual characteristics.,geographic concentration formal employment bogotá medellín cali corridor imply worker secondary city face structural informality exposure independent individual characteristic,0,institutional,A051,23,19,25,8,0.32,2,0.08,6,0.24,0,0.0,3,0.12,0,0.0,formal employment worker structural informality,5,0.2632,2,1,1,0,0,1
"The legal framework governing platform-mediated work lacks explicit provisions for contribution to social protection, creating a regulatory gap that affects an estimated 400,000 workers engaged in app-based service delivery.",legal framework govern platform mediate work lack explicit provision contribution social protection create regulatory gap affect estimate worker engage app base service delivery,0,institutional,A052,29,23,31,11,0.3548,8,0.2581,4,0.129,0,0.0,0,0.0,1,0.0323,platform work contribution protection regulatory worker,6,0.2609,1,2,1,2,0,0
Survey evidence indicates that a majority of informal workers express a preference for formal employment but report being unable to find positions offering formal status at acceptable wage levels.,survey evidence indicate majority informal worker express preference formal employment report unable find position offer formal status acceptable wage level,0,institutional,A053,29,20,29,11,0.3793,4,0.1379,5,0.1724,0,0.0,0,0.0,0,0.0,evidence informal worker formal employment formal wage,7,0.35,2,1,2,0,1,1
Decomposition of the informal employment share over the past two decades attributes approximately 55 percent of the observed decline to compositional shifts in the educational structure of the workforce.,decomposition informal employment share past decade attribute approximately percent observed decline compositional shift educational structure workforce,0,institutional,A054,29,16,29,9,0.3103,1,0.0345,5,0.1724,1,0.0345,0,0.0,2,0.069,informal employment,2,0.125,2,0,0,0,0,0
The incidence of work-related illness and injury among informal workers is substantially underreported due to the absence of mandatory notification obligations applicable to informal employment relationships.,incidence work relate illness injury informal worker substantially underreporte absence mandatory notification obligation applicable informal employment relationship,0,institutional,A055,26,17,27,10,0.3704,2,0.0741,4,0.1481,1,0.037,0,0.0,0,0.0,work informal worker obligation informal employment,6,0.3529,4,1,1,0,0,0
Administrative records indicate that fewer than 8 percent of informal workers in Colombia have accessed any publicly funded active labor market program in the past five years.,administrative record indicate few percent informal worker colombia access publicly fund active labor market program past year,0,institutional,A056,27,17,27,7,0.2593,3,0.1111,5,0.1852,1,0.037,1,0.037,2,0.0741,informal worker labor market,4,0.2353,2,1,0,0,1,0
Household-level analysis reveals that the probability of at least one member of a household being informally employed exceeds 80 percent in the two lowest quintiles of the income distribution.,household level analysis reveal probability member household informally employ exceed percent low quintile income distribution,0,institutional,A057,29,15,30,10,0.3333,3,0.1,1,0.0333,3,0.1,0,0.0,3,0.1,reveal income,2,0.1333,0,0,0,0,1,1
The formality gap between workers with children under five and workers without dependents is attributable in part to reduced formal labor market participation among primary caregivers following childbirth.,formality gap worker child worker dependent attributable reduce formal labor market participation primary caregiver follow childbirth,0,institutional,A058,28,16,28,12,0.4286,2,0.0714,3,0.1071,0,0.0,0,0.0,1,0.0357,formality worker worker formal labor market,6,0.375,1,2,2,0,1,0
Cross-national benchmarking places Colombia's labor formality rate below the Latin American regional average after controlling for GDP per capita and sectoral employment composition.,cross national benchmarking place colombia labor formality rate latin american regional average control gdp capita sectoral employment composition,0,institutional,A059,23,18,25,8,0.32,1,0.04,7,0.28,0,0.0,2,0.08,0,0.0,labor formality employment,3,0.1667,1,0,1,0,1,0
Available evidence does not support the hypothesis that informal employment growth in Colombia since 2020 is attributable primarily to aggregate demand contraction; firm-level compliance behavior appears to be the dominant explanatory factor.,available evidence support hypothesis informal employment growth colombia attributable primarily aggregate demand contraction firm level compliance behavior appear dominant explanatory factor,0,institutional,A060,32,21,33,10,0.303,3,0.0909,6,0.1818,1,0.0303,1,0.0303,1,0.0303,evidence informal employment compliance,4,0.1905,2,0,1,0,0,1
"Every morning, María sets up her fruit stall before sunrise, knowing that a slow day means skipping dinner. She has no sick leave, no health insurance, and no one to call if something goes wrong.",morning maría set fruit stall sunrise know slow day mean skip dinner sick leave health insurance go wrong,1,popular_media,B001,35,18,35,10,0.2857,7,0.2,3,0.0857,0,0.0,1,0.0286,0,0.0,leave health,2,0.1111,0,0,0,2,0,0
"Thousands of street vendors in Bogotá work without contracts, relying on whatever they sell that day to cover rent, food, and transportation — with nothing left over for emergencies.",thousand street vendor bogotá work contract rely sell day cover rent food transportation leave emergency,1,popular_media,B002,29,15,28,10,0.3571,4,0.1429,0,0.0,0,0.0,1,0.0357,0,0.0,street vendor work contract sell food leave,7,0.4667,4,0,1,1,1,0
"For construction workers hired by the day in Medellín, there is no guarantee of tomorrow's income. When the rain comes, so does the lost pay.",construction worker hire day medellín guarantee tomorrow income rain come lose pay,1,popular_media,B003,25,12,26,8,0.3077,5,0.1923,0,0.0,1,0.0385,1,0.0385,0,0.0,worker guarantee income pay,4,0.3333,0,1,0,1,2,0
Informal delivery riders say they can work ten hours straight and still bring home less than minimum wage. Tips are not a bonus — they are survival.,informal delivery rider work hour straight bring home minimum wage tip bonus survival,1,popular_media,B004,27,13,26,7,0.2692,3,0.1154,3,0.1154,3,0.1154,0,0.0,1,0.0385,informal work hour wage tip,5,0.3846,2,0,0,0,3,0
"A seamstress in Cali stitches garments for a local supplier without a formal contract. She earns per piece, which means slow seasons leave her unable to pay utility bills.",seamstress cali stitch garment local supplier formal contract earn piece mean slow season leave unable pay utility bill,1,popular_media,B005,29,18,29,9,0.3103,4,0.1379,4,0.1379,0,0.0,1,0.0345,0,0.0,formal contract earn leave pay,5,0.2778,0,0,2,1,2,0
Street food vendors in Cartagena often feed entire neighborhoods while going hungry themselves when profits fall short. There is no unemployment benefit waiting for them.,street food vendor cartagena feed entire neighborhood go hungry profit fall short unemployment benefit wait,1,popular_media,B006,25,15,25,7,0.28,5,0.2,3,0.12,1,0.04,1,0.04,0,0.0,street food vendor benefit,4,0.2667,2,0,0,1,1,0
"Many domestic workers in Colombian cities are paid in cash, with no written agreement and no pension savings. Decades of labor can end with nothing to show for it.",domestic worker colombian city pay cash write agreement pension saving decade labor end,1,popular_media,B007,29,13,29,8,0.2759,4,0.1379,3,0.1034,0,0.0,0,0.0,0,0.0,domestic worker pay cash pension saving labor,7,0.5385,0,1,0,1,5,0
"For an informal recycler pushing a cart through Barranquilla's streets, income depends entirely on scrap prices that swing without warning. One bad week can mean unpaid rent.",informal recycler push cart barranquilla street income depend entirely scrap price swing warn bad week mean unpaid rent,1,popular_media,B008,27,18,28,8,0.2857,5,0.1786,3,0.1071,1,0.0357,1,0.0357,1,0.0357,informal street income,3,0.1667,2,0,0,0,1,0
Small market stall owners say they work longer hours than salaried employees and take home less. The difference is they also have no holidays and no way to call in sick.,small market stall owner work long hour salaried employee home difference holiday way sick,1,popular_media,B009,31,14,31,8,0.2581,5,0.1613,5,0.1613,3,0.0968,0,0.0,0,0.0,market work hour employee,4,0.2857,2,1,0,0,1,0
A mother of three in Soacha sells arepas from a cart to fund her children's school supplies. She has never contributed to a pension and does not expect to retire.,mother soacha sell arepa cart fund child school supply contribute pension expect retire,1,popular_media,B010,30,13,31,7,0.2258,5,0.1613,0,0.0,1,0.0323,1,0.0323,1,0.0323,sell pension,2,0.1538,1,0,0,1,0,0
"When the pandemic hit, informal workers in Colombia had no employer to call and no government payment to wait for. Many went without income for weeks before any aid arrived.",pandemic hit informal worker colombia employer government payment wait go income week aid arrive,1,popular_media,B011,30,14,30,8,0.2667,5,0.1667,3,0.1,0,0.0,1,0.0333,0,0.0,informal worker employer government income,5,0.3571,1,3,0,0,1,0
"Day laborers on Bogotá's construction sites say they are hired by phone and paid in cash. There is no contract, no vacation, and no way to prove they ever worked there.",day laborer bogotá construction site hire phone pay cash contract vacation way prove work,1,popular_media,B012,31,14,32,9,0.2812,6,0.1875,0,0.0,2,0.0625,1,0.0312,0,0.0,pay cash contract work,4,0.2857,1,0,1,0,2,0
A mechanic working out of an open garage in Bucaramanga fixes cars for neighbors without any formal setup. His tools are borrowed and his income unpredictable.,mechanic work open garage bucaramanga fix car neighbor formal setup tool borrow income unpredictable,1,popular_media,B013,26,14,26,7,0.2692,3,0.1154,3,0.1154,0,0.0,1,0.0385,0,0.0,work formal income,3,0.2143,1,0,1,0,1,0
"Informal taxi drivers say that vehicle breakdowns come out of their own pockets. Without formal employment, there is no insurance scheme and no employer to share the risk.",informal taxi driver vehicle breakdown come pocket formal employment insurance scheme employer share risk,1,popular_media,B014,28,14,28,10,0.3571,4,0.1429,3,0.1071,0,0.0,0,0.0,0,0.0,informal formal employment employer,4,0.2857,2,1,1,0,0,0
"For many young people entering the labor market in Colombia, their first job is informal — no contract, no training, and often paid below minimum wage.",young people enter labor market colombia job informal contract training pay minimum wage,1,popular_media,B015,26,13,25,7,0.28,2,0.08,5,0.2,1,0.04,1,0.04,0,0.0,labor market job informal contract pay wage,7,0.5385,3,0,1,0,3,0
An elderly vendor who has sold lottery tickets in the same Medellín street corner for thirty years has no pension waiting for her. Old age will mean depending on her children.,elderly vendor sell lottery ticket medellín street corner thirty year pension wait old age mean depend child,1,popular_media,B016,31,17,31,9,0.2903,5,0.1613,3,0.0968,0,0.0,1,0.0323,1,0.0323,vendor sell street pension,4,0.2353,3,0,0,1,0,0
